run 0: {'page': 1, 'para': 0, 'line': 1, 'text': '[426', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 1: {'page': 1, 'para': 0, 'line': 1, 'text': '] V', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 2: {'page': 1, 'para': 0, 'line': 1, 'text': 'I. Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 3: {'page': 1, 'para': 0, 'line': 1, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 4: {'page': 1, 'para': 0, 'line': 1, 'text': 'uch. Ueber den Unter', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 5: {'page': 1, 'para': 0, 'line': 1, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 6: {'page': 1, 'para': 0, 'line': 1, 'text': 'chied', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 7: {'page': 1, 'para': 1, 'line': 2, 'text': 'Sechster Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 8: {'page': 1, 'para': 1, 'line': 2, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 9: {'page': 1, 'para': 1, 'line': 2, 'text': 'uch.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 10: {'page': 1, 'para': 2, 'line': 3, 'text': 'Ueber den Unter', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 11: {'page': 1, 'para': 2, 'line': 3, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 12: {'page': 1, 'para': 2, 'line': 3, 'text': 'chied der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 13: {'page': 1, 'para': 2, 'line': 3, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 14: {'page': 1, 'para': 2, 'line': 3, 'text': 'innlichen Kennt-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 15: {'page': 1, 'para': 2, 'line': 4, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 16: {'page': 1, 'para': 2, 'line': 4, 'text': 'niß und der vern', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 17: {'page': 1, 'para': 2, 'line': 4, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 18: {'page': 1, 'para': 2, 'line': 4, 'text': 'nftigen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 19: {'page': 1, 'para': 3, 'line': 5, 'text': 'I.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 20: {'page': 1, 'para': 4, 'line': 6, 'text': 'Von der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 21: {'page': 1, 'para': 4, 'line': 6, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 22: {'page': 1, 'para': 4, 'line': 6, 'text': 'innlichen Kenntniß und den dabey wirk-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 23: {'page': 1, 'para': 4, 'line': 7, 'text': 's', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 24: {'page': 1, 'para': 4, 'line': 7, 'text': 'amen Denkungsverm', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 25: {'page': 1, 'para': 4, 'line': 7, 'text': 'ö', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 26: {'page': 1, 'para': 4, 'line': 7, 'text': 'gen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 27: {'page': 1, 'para': 5, 'line': 8, 'text': '1) Unter', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 28: {'page': 1, 'para': 5, 'line': 8, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 29: {'page': 1, 'para': 5, 'line': 8, 'text': 'chied der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 30: {'page': 1, 'para': 5, 'line': 8, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 31: {'page': 1, 'para': 5, 'line': 8, 'text': 'innlichen Erkenntniß und', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 32: {'page': 1, 'para': 5, 'line': 9, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 33: {'page': 1, 'para': 5, 'line': 9, 'text': 'der vern', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 34: {'page': 1, 'para': 5, 'line': 9, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 35: {'page': 1, 'para': 5, 'line': 9, 'text': 'nftigen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 36: {'page': 1, 'para': 6, 'line': 10, 'text': '2) Er', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 37: {'page': 1, 'para': 6, 'line': 10, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 38: {'page': 1, 'para': 6, 'line': 10, 'text': 'te Art der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 39: {'page': 1, 'para': 6, 'line': 10, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
